Iteration, Discriminator Loss, Generator Loss, Accuracy
5950, 1.336425, 0.554297, 0.437500
5960, 1.359812, 0.584562, 0.474609
5970, 1.374862, 0.623438, 0.472656
5980, 1.386601, 0.618702, 0.486328
5990, 1.317676, 0.633884, 0.500000
6000, 1.281754, 0.636522, 0.445312
6010, 1.387571, 0.661646, 0.500000
6020, 1.328162, 0.526287, 0.314453
6030, 1.338824, 0.774415, 0.500000
6040, 1.351994, 0.626654, 0.468750
6050, 1.342630, 0.616079, 0.457031
6060, 1.351222, 0.723048, 0.500000
6070, 1.353226, 0.484267, 0.423828
6080, 1.313253, 0.636251, 0.435547
6090, 1.331936, 0.609657, 0.500000
6100, 1.315397, 0.591208, 0.476562
6110, 1.363303, 0.597642, 0.470703
6120, 1.291914, 0.594877, 0.412109
6130, 1.325302, 0.673287, 0.494141
6140, 1.377276, 0.672247, 0.500000
6150, 1.336177, 0.629858, 0.478516
6160, 1.324305, 0.586586, 0.451172
6170, 1.393755, 0.716131, 0.500000
6180, 1.333673, 0.533551, 0.441406
6190, 1.364084, 0.580553, 0.484375
6200, 1.331689, 0.572492, 0.490234
6210, 1.386759, 0.672145, 0.500000
6220, 1.312404, 0.539376, 0.417969
6230, 1.329522, 0.743547, 0.500000
6240, 1.274657, 0.612981, 0.513672
6250, 1.318161, 0.681653, 0.500000
6260, 1.337632, 0.550209, 0.427734
6270, 1.339107, 0.628306, 0.500000
6280, 1.340047, 0.514221, 0.515625
6290, 1.332166, 0.682067, 0.500000
6300, 1.264891, 0.825628, 0.500000
6310, 1.323575, 0.553273, 0.558594
6320, 1.328078, 0.514243, 0.449219
6330, 1.361382, 0.711668, 0.500000
6340, 1.320439, 0.880013, 0.500000
6350, 1.322666, 0.544666, 0.445312
6360, 1.327253, 0.561395, 0.451172
6370, 1.284202, 0.520226, 0.427734
6380, 1.369411, 0.541599, 0.453125
6390, 1.342060, 0.642763, 0.500000
6400, 1.343701, 0.735995, 0.500000
6410, 1.316340, 0.515720, 0.410156
6420, 1.305686, 0.515126, 0.400391
6430, 1.358151, 0.515986, 0.427734
6440, 1.310428, 0.563061, 0.441406
6450, 1.341608, 0.538659, 0.429688
6460, 1.291868, 0.568263, 0.451172
6470, 1.347168, 0.718516, 0.492188
6480, 1.377816, 0.500132, 0.486328
6490, 1.363329, 0.634170, 0.500000
